artist-id	artist
450514	Tihuana
202085	James Morrison
330061	Pet Shop Boys
404350	Suede
227460	Kaskade
320569	Owl City
439113	The Rapture
220615	Juanes
471013	Vierra
322177	Padi
317460	Orbital
98394	Dabaaz
197860	J. Cole
272025	Marilyn Manson
240055	LMFAO
274007	Maroon 5
92107	DAITA
233683	Kings Of Leon
417979	The Amity Affliction
360143	Rocket Rockers
155809	Freshlyground
459099	Tribalistas
478007	Westlife
151666	Foster The People
117659	Disturbed
58322	Brett Anderson
270067	Marcell
135108	Eminem
335480	Pitbull
167669	Go Radio
229442	Kelis
122991	Drake
233682	Kings Of Convenience
110583	Demi Lovato
34087	Avicci
356772	Rihanna
56531	Bowie
213787	John
386633	Skinless
9192	Adele
361211	Roland Alphonso
476146	Washed Out
281988	Mercyful Fate
250929	Lil Wayne
59333	Britney Spears
197223	Ivete Sangalo
367391	SHINee
246486	Leeroy
324021	Paramore
77470	Christina Perri
301735	Natalia Kills
49788	Black Lips
56373	Bouchées Doubles
42944	Ben Folds
104957	David Guetta
325402	Pato Fu
259514	Lucenzo
40551	Basto
263077	MBLAQ
302277	Natiruts
413819	Taylor Swift
52897	BoB feat. Bruno Mars
302854	Ne-Yo
30731	Asher Book
133938	Ellie Goulding
384551	Simple Plan
74752	Childish Gambino
211444	JoJo
287024	Mike Posner
2338	30 Seconds to Mars
149709	Floetry
37490	Bajofondo
51307	Blink 182
280254	Megadeth
193089	Incubus
241718	Lacuna Coil
388020	Slipknot
343878	Queen
483729	Xavier Rudd
247855	Leona Lewis
301448	Nas
220806	Judika
45556	Beyonce
128744	Ed Sheeran
347468	Rammstein
474988	Wale
48184	Billy Talent
466569	Usher
289233	Miranda Lambert
409372	System of a Down
194226	Inna
56822	Boys2Men
298166	My Chemical Romance
34173	Avril Lavigne
251952	Linkin Park
320064	OutKast
487164	ZZ Top
208968	Jessie J
253391	Little Stevie Wonder
356219	Rick Ross
351722	Reel Big Fish
202388	Jamestown Story
1912	2AM
328106	Pearl Jam
51653	Blood Red Shoes
75946	Chris Brown
174288	Gym Class Heroes
82745	Coldplay
1978	2NE1
213239	Joey McIntyre
385607	Sistar19
215116	John Mayer
140749	Evanescence
144166	Falling In Reverse
270129	Marcelo Camelo
121477	Double 0 Zero
251272	Lily Allen
336473	Pleasure P
146998	Fever Ray
316246	One Direction
346060	Radiohead
26537	Anuar Zain
228395	Katy Perry
27952	Architecture in Helsinki
380243	Shayne Ward
315615	Olly Murs
35794	BIGBANG
