country-id	country
0	Brazil
1	Indonesia
2	United Kingdom
3	United States
4	France
5	Canada
6	Malaysia
7	Philippines
8	Kenya
9	Turkey
10	Sweden
11	Mexico
12	Singapore
13	Vietnam
14	The Netherlands
15	Russia
16	Japan
17	South Africa
18	Germany
19	Ireland
20	Spain
21	Italy
22	Lebanon
23	Republic of Latvia
24	Belgium
25	Ghana
26	Chile
27	Botswana
28	Thailand
29	Nigeria
30	Australia
31	Croatia
32	Morocco
33	Poland
34	India
35	Hungary
36	Brunei Darussalam
37	Uganda
38	Ukraine
39	Greece
40	Norway
41	Denmark
42	United Arab Emirates
43	Portugal
44	Colombia
45	Venezuela
46	New Zealand
47	Bahrain
48	Kuwait
49	Egypt
50	Peru
51	Finland
52	Hong Kong-China
53	Czech Republic
54	Dominican Republic
55	Argentina
56	Switzerland
57	Belarus
58	Barbados
59	Panama
60	Armenia
61	Estonia
62	South Korea
63	Taiwan
64	Austria
65	Jordan
66	The Bahamas
67	Cameroon
68	Saudi Arabia
69	China
70	Cayman Islands
71	Oman
72	Kazakhstan
73	Ecuador
74	Trinidad and Tobago
75	Paraguay
76	El Salvador
77	Costa Rica
78	Republic of Lithuania
79	Jamaica
80	Romania
81	Namibia
82	Guatemala
83	Kyrgyzstan
84	Honduras
85	Antigua and Barbuda
86	Pakistan
87	Sri Lanka
88	Moldova
89	Brunei
90	Malta
91	Qatar
92	Iraq
93	Luxemburg
94	Iceland
95	Fiji
96	Nicaragua
97	Zambia
98	Macedonia
99	Bangladesh
100	Maldives
101	Azerbaijan
102	Gibraltar
103	Haiti
104	Uzbekistan
105	Martinique
106	Israel
107	Guadeloupe
108	Montenegro
109	Malawi
110	Swaziland
111	Slovenia
112	Bulgaria
113	Sudan
114	Zimbabwe
115	French-Guiana
116	Tanzania
117	Syria
118	Bolivia
119	The Gambia
120	Somalia
121	Suriname
122	Reunion
123	Turks and Caicos Islands
124	Tunisia
125	Algeria
126	Serbia
127	Benin
128	Senegal
129	Nepal
130	British Virgin Islands
131	Lesotho
132	Cyprus
133	Andorra
134	Saint Vincent and the Grenadines
135	Ivory Coast
136	Georgia
137	Uruguay
138	Guyana
139	Rwanda
140	Angola
141	Netherlands Antilles
142	Mongolia
143	Mauritius
144	Gabon
145	Mozambique
146	Cambodia
147	St. Lucia
148	St Helena Ascension and Tristan da Cunha
149	Madagascar
150	Myanmar
151	Palestinian Territories
152	Burkina Faso
153	Samoa
154	Falkland Islands
155	Monaco
156	Vatican City State
157	Slovakia
158	Mali
159	Libya
160	Anguilla
161	Equatorial Guinea
162	Democratic Republic of Congo
163	Congo
164	Afghanistan
165	North Korea
166	Togo
167	Grenada
168	Saint-Martin
169	Dominica
170	Albania
171	Macau-China
172	Iran
173	Sierra Leone
174	Seychelles
175	Mayotte
176	Ethiopia
177	French Polynesia
178	Saint Kitts and Nevis
179	Mauritania
